site_name,company_name,city,state,region,stage,demand_capacity_mw,full_address
IREN: Childress TX,IREN,Childress,TX,West Texas,operational,750.0,"620 FM1033, Childress, TX 79201, United States"
Meta Huntsville Campus,Meta,Huntsville,AL,Huntsville,operational,250.0,"North Huntsville Industrial Park, Huntsville, AL 35773"
Microsoft Des Moines Project Alluvion,Microsoft Azure,West Des Moines,IA,Des Moines,operational,200.0,"555 White Crane Rd, West Des Moines, IA 50265"
Homer City Expansion,Homer City Redevelopment (HCR),Homer City,PA,Pittsburgh,planned,4400.0,"1750 Power Plant Rd, Homer City, PA 15748, USA"
Meta: Hyperion Expansion,Meta,,LA,Louisiana,planned,1900.0,"Burn Rd, Louisiana 71269, USA"
Vantage: Port Washington Expansion,Vantage Data Centers,Port Washington,WI,Milwaukee,planned,3400.0,"1522 Lake Dr, Port Washington, WI 53074, United States"
Crusoe: Abilene 7,Crusoe,Abilene,TX,West Texas,construction,180.0,"5502 Spinks Rd, Abilene, TX 79601, USA"
IREN: Sweetwater 2,IREN,Hamlin,TX,West Texas,construction,200.0,"FM540, Hamlin, TX 79520, USA"
Switch Reno Campus (The Citadel),Switch,Sparks,NV,Reno,construction,130.0,"1 Superloop Circle, Sparks, NV 89437"
"Amazon: King George, VA",Amazon AWS,King George,VA,AWS US East (N. Virginia),in_doubt,900.0,"Birchwood Dr, King George, VA"
Amazon: Project Blue,Amazon AWS,Tucson,AZ,Tucson,in_doubt,60.0,"11295 S Harrison Rd, Tucson, AZ 85747, United States"
QTS: Prince William Digital Gateway Campus,QTS Data Centers,Catharpin,VA,Northern Virginia,in_doubt,850.0,"Pageland Ln & VA-234, Catharpin, VA 20143, USA"
Cathedra: North Dakota,Cathedra Bitcoin Inc.,Williston,ND,North Dakota,decommissioned,60.0,"Williston, North Dakota"
Lumen Boston (1 Main),Lumen Technologies,Cambridge,MA,Boston,decommissioned,0.5,"1 Main Street, Cambridge, MA 02142"
"Nautilus Millinocket, ME",Nautilus Data Technologies,Millinocket,ME,Maine,decommissioned,60.0,"34 York St, Millinocket, ME 04462"
"Amazon: Becker, MN",Amazon AWS,Becker,MN,Minneapolis St Paul,withdrawn,600.0,"Sherco Power Plant, Becker, MN 55308, United States"
Amazon: Lousia County Campus,Amazon AWS,Louisa,VA,AWS US East (N. Virginia),withdrawn,50.0,"School Bus Rd, Louisa, VA 23093, United States"
Balico: Pittslyvania,Balico,,VA,Virginia: Rural,withdrawn,600.0,"Strader Rd & Whitehorn Rd, Virginia 24531, USA"
